//=========================================================================================================================================
// NHServers www.nhservers.com.br
//=========================================================================================================================================
/////////////////////////////////////////////////////////////////////////////
//NPC NAME - 016 - Sivia
/////////////////////////////////////////////////////////////////////////////
//Index Type   	Level   Dur   	Skill   Luck   Option   ExcOp	SetOp	JoH	OEx	Socket1	Socket2	Socket3	Socket4	Socket5
14	0	0	50	0	0	0	0 0 0 0 0 0 0 0 0	//Apple
14	1	0	50	0	0	0	0 0 0 0 0 0 0 0 0	//Small Healing Potion
14	2	0	50	0	0	0	0 0 0 0 0 0 0 0 0	//Healing Potion
14	3	0	50	0	0	0	0 0 0 0 0 0 0 0 0	//Large Healing Potion
14	4	0	50	0	0	0	0 0 0 0 0 0 0 0 0	//Small Mana Potion
14	5	0	50	0	0	0	0 0 0 0 0 0 0 0 0	//Mana Potion
14	6	0	50	0	0	0	0 0 0 0 0 0 0 0 0	//Large Mana Potion
14	8	0	50	0	0	0	0 0 0 0 0 0 0 0 0	//Antidote
13	29	0	255	0	0	0	0 0 0 0 0 0 0 0 0	//Armor of Guardsman
14	9	0	255	0	0	0	0 0 0 0 0 0 0 0 0	//Ale

end
