//Index	ItemIndex   AddHP	AddMP	DamageRate   AttackSpeed   DoubleDmgRate	TripleDmgRate	AddExp	ResistDoubleDmg	ResistIgnoreDefense	ResistIgnoreSD	ResistCriticalDMG	ResistExceDMG	BlockStuck	ReflectRate	PetRecovery	Commnet		
0	       6856     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // 
1	       6857     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // 
2	       6858     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // 
3	       6859     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // 
4	       6860     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // 
5	       6861     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // 
6	       6862     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // 
7	       6863     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // 
8	       6864     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // 
9	       6865     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // 
10	       6866     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // 
11	       6867     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // 
12	       6868     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // 
13	       6869     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // 
14	       6870     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // 
15	       6871     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // 
16	       6872     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // 
17	       6873     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // 
18	       6874     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // 
19	       6875     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // 
20	       6876     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // 
21	       6877     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // 
22	       6878     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // 
23	       6879     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // 
24	       6880     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // 
25	       6881     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // 
26	       6882     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // 
27	       6883     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // 
28	       6884     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // 
29	       6885     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // 
30	       6886     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // 
31	       6887     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // 
32	       6888     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // 
33	       6889     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // 
34	       6890     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // 
35	       6891     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // 
36	       6892     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // 
37	       6893     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // 
38	       6894     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // 
39	       6895     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // 
40	       6896     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // 
41	       6897     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // 
42	       6898     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // 
43	       6899     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // 
44	       6900     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // 
45	       6901     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // 

46	       6902     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // Ice Dragon Blue
47	       6903     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // Ice Dragon Red
48	       6904     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // Ghost Fenrir
49	       6905     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // Ice Dragon Steel
50	       6906     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // Ghost Lion
51	       6907     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // Pierce Ryan Blue
52	       6908     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // Pierce Ryan Red
53	       6909     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // Dragon Zeus
54	       6910     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // Lion Zeus
55	       6911     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // Ghost Houser
56	       6912     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // Ghost Houser
57	       6913     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // Ghost Houser
58	       6914     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // Ghost Houser
59	       6915     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // Ghost Houser
60	       6916     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // Ghost Houser
61	       6917     0    	0	     0           0             0		         0		     0		       0			0			         0		           0			      0			     0		      0		      1          // Ghost Houser

end	                                              
