//===================================================================================
// ----------------------------------------------------------------------------------
// Developer:	ExBexo-1996
// ----------------------------------------------------------------------------------
// FaceBook: 	https://www.facebook.com/cuocdoikhongtien1996/
// ----------------------------------------------------------------------------------
//===================================================================================
// Lucky Spin (MAX 12)
// ----------------------------------------------------------------------------------
//===================================================================================
0
//===================================================================================
// NHÓM	INDEX	SỐLƯỢNG	  WCOINC
//===================================================================================
	12	 15        0	  0 //
end

1
//===================================================================================
// ItemType	ItemIndex	Level	Skill   Luck	Option  Exc   Rate
//===================================================================================
	13		14			0		0		0		0		0 	 	99
	14		11			8		0		0		0		0  	 	1
	14		22			0		0		0		0		0  	 	1
	14		11			9		0		0		0		0  	 	1
	14		13			0		0		0		0		0  	 	1
	14		11			10		0		0		0		0  	 	1
	14		14			0		0		0		0		0  	 	1
	14		11			11		0		0		0		0  	 	1
	14		16			0		0		0		0		0  	 	1
	14		11			12		0		0		0		0  	 	1
	13		37			0		0		0		0		0  	 	1
	12		15			0		0		0		0		0  	 	1
end
