//|================================================================|
//| GoldMU.net Chỉnh sửa Cash Shop                                 |
//| Credit: GoldMU/MU Online                          [GoldMU.net] |
//|================================================================|
//ID	Number	Value	Item	Level	Skill	Luck	Option	ExOpt	AncOp	JOH	Oexe	Socket1	Socket2	Socket3	Socket4	Socket5	Qtd	Duration	Comment
1000	1000	3000	7221	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Bùa Tăng Tỉ Lệ (1%)
1000	1001	5000	7221	3	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Bùa Tăng Tỉ Lệ (4%)
1000	1002	9000	7221	5	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Bùa Tăng Tỉ Lệ (7%)
1010	1010	15000	7264	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Bùa kết hợp Chaos
1020	1020	30000	6720	0	0	0	0	0	0	0	0	255	255	255	255	255	0	259200	// Đại Quỷ (3 Days)
1020	1021	60000	6720	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Đại Quỷ (7 Days)
1030	1030	10000	6700	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Bùa thiên sứ (1 Ngày)
1030	1031	60000	6700	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Bùa thiên sứ (7 Days)
1030	1032	250000	6700	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Bùa thiên sứ (30 Days)
1040	1040	2000	6702	0	0	0	0	0	0	0	0	255	255	255	255	255	1	0	// Devil Square Ticket (1 Lan)
1040	1041	18000	6702	0	0	0	0	0	0	0	0	255	255	255	255	255	10	0	// Devil Square Ticket (10 Lan)
1050	1050	2000	6703	0	0	0	0	0	0	0	0	255	255	255	255	255	1	0	// Blood Castle Ticket (1 Lan)
1050	1051	18000	6703	0	0	0	0	0	0	0	0	255	255	255	255	255	10	0	// Blood Castle Ticket (10 Lan)
1060	1060	5000	6699	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Bùa kinh nghiệm (1 Days)
1060	1061	30000	6699	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Bùa kinh nghiệm (7 Days)
1060	1062	100000	6699	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Bùa kinh nghiệm (30 Days)
1070	1070	30000	6736	0	0	0	0	0	0	0	0	255	255	255	255	255	0	259200	// Gấu Trúc (3 Days)
1070	1071	60000	6736	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Gấu Trúc (7 Days)
1070	1072	250000	6736	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Gấu Trúc (30 Days)
1080	1080	30000	6732	0	0	0	0	0	0	0	0	255	255	255	255	255	0	259200	// Panda Ring (3 Days)
1080	1081	60000	6732	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Panda Ring (7 Days)
1080	1082	250000	6732	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Panda Ring (30 Days)
1090	1090	10000	6749	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Bùa Master (1 Days)
1090	1091	60000	6749	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Bùa Master (7 Days)
1090	1092	200000	6749	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Bùa Master (30 Days)
1100	1100	15000	6750	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Bùa Siêu Master (1 Days)
1100	1101	100000	6750	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Bùa Siêu Master (7 Days)
1100	1102	400000	6750	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Bùa Siêu Master (30 Days)
1110	1110	20000	6779	0	0	0	0	0	0	0	0	255	255	255	255	255	0	259200	// Rồng xương (3 Days)
1110	1111	40000	6779	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Rồng xương (7 Days)
1120	1120	20000	6778	0	0	0	0	0	0	0	0	255	255	255	255	255	0	259200	// Nhẫn xương (3 Days)
1120	1121	40000	6778	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Nhẫn xương (7 Days)
1130	1130	10000	6769	0	0	0	0	0	0	0	0	255	255	255	255	255	255	86400	// Ruby Necklace (1 Days)
1140	1140	10000	7238	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Bình máu siêu cấp (1 UN)
1150	1150	10000	6766	0	0	0	0	0	0	0	0	255	255	255	255	255	255	86400	// Ruby Ring (1 Days)
1160	1160	5000	7240	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Bùa tốc độ (1 Days)
1170	1170	3000	7241	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Bùa phòng thủ (1 Ngày)
1180	1180	3000	7242	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Bua tan cong (1 Days)
1190	1190	5000	7244	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Bua HP (1 Days)
1200	1200	3000	7243	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Bua phep thuat (1 Days)
1210	1210	3000	7245	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Bua Mana (1 Days)
1220	1220	50000	7330	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Mở rộng thùng đồ (1 UN)
1230	1230	10000	7265	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Scroll of Battle (1 Days)
1240	1240	10000	7266	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Scroll of Strength (1 Days)
1250	1250	100000	7331	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Mở rộng thùng đồ chung (1 UN)
end
